epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1461.24,0.76473,0.63219,1.27117,0.9087,0.84772,0.93547,0.73434,0.85755,0.53555,1.37527,0.0011882,0.0011882,0.0011882
43,1497.47,0.76962,0.61612,1.27018,0.89536,0.84701,0.9266,0.74673,0.82243,0.54179,1.32157,0.0011684,0.0011684,0.0011684
44,1531.85,0.76305,0.6292,1.27274,0.91937,0.83922,0.93958,0.77826,0.75834,0.51683,1.26286,0.0011486,0.0011486,0.0011486
45,1567.29,0.76301,0.61532,1.25019,0.93941,0.85533,0.93417,0.7811,0.74047,0.47421,1.25401,0.0011288,0.0011288,0.0011288
46,1601.76,0.74166,0.60404,1.2497,0.9278,0.84802,0.94467,0.74965,0.84387,0.51248,1.36038,0.001109,0.001109,0.001109
47,1636.38,0.75744,0.60812,1.27005,0.90624,0.87056,0.94666,0.78588,0.75014,0.53712,1.26859,0.0010892,0.0010892,0.0010892
48,1671.41,0.74134,0.59578,1.24972,0.92552,0.88311,0.94895,0.79223,0.73881,0.453,1.27205,0.0010694,0.0010694,0.0010694
49,1705.63,0.74755,0.60005,1.24362,0.88578,0.8934,0.94838,0.77723,0.78648,0.51014,1.30319,0.0010496,0.0010496,0.0010496
50,1740.73,0.72596,0.57595,1.24329,0.93333,0.85025,0.94179,0.78933,0.73372,0.48022,1.23789,0.0010298,0.0010298,0.0010298
51,1774.33,0.73166,0.56838,1.2449,0.96155,0.8252,0.93622,0.76471,0.80681,0.46689,1.30894,0.00101,0.00101,0.00101
52,1809.73,0.73426,0.56142,1.23674,0.92675,0.86802,0.94033,0.77882,0.77214,0.43886,1.27882,0.0009902,0.0009902,0.0009902
53,1843.54,0.71966,0.56411,1.23634,0.93308,0.84927,0.94638,0.78026,0.78362,0.50278,1.27743,0.0009704,0.0009704,0.0009704
54,1877.62,0.72708,0.58522,1.2392,0.91687,0.86784,0.93771,0.77222,0.79169,0.49032,1.29785,0.0009506,0.0009506,0.0009506
