epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.613,1.39623,3.172,1.62795,0.00356,0.8,0.13288,0.07895,0.95889,3.72553,1.30637,0.0721,0.0031,0.0031
2,221.311,1.34766,2.65194,1.56942,0.67744,0.2,0.28419,0.17773,1.18877,3.41363,1.44406,0.0430921,0.0060921,0.0060921
3,351.427,1.37706,2.30955,1.51174,0.35075,0.15,0.21542,0.14135,1.54158,3.46079,1.52836,0.013873,0.008873,0.008873
4,484.924,1.42122,2.24799,1.56519,0.60967,0.54684,0.46947,0.26761,1.9982,2.94188,1.84771,0.00901,0.00901,0.00901
5,616.229,1.48052,2.42154,1.62601,0.70231,0.59027,0.64713,0.32246,1.38498,2.58162,1.45154,0.00868,0.00868,0.00868
6,750.591,1.48143,2.20982,1.62749,0.64772,0.6438,0.64254,0.31373,1.40089,2.87015,1.56027,0.00835,0.00835,0.00835
7,872.488,1.36488,1.99143,1.51272,0.6973,0.69145,0.69098,0.36088,1.52018,3.22401,1.65782,0.00802,0.00802,0.00802
8,981.42,1.45344,2.02092,1.61429,0.24927,0.4,0.20965,0.10696,1.73774,3.2665,1.73671,0.00769,0.00769,0.00769
9,1088.26,1.37525,1.86149,1.56456,0.59611,0.51722,0.53553,0.32425,1.68345,2.42624,1.64944,0.00736,0.00736,0.00736
10,1195.21,1.37094,1.83412,1.53985,0.40468,0.55,0.44717,0.27706,1.35015,2.54356,1.42244,0.00703,0.00703,0.00703
11,1339.31,1.40907,1.87135,1.55021,0.55549,0.4,0.49165,0.27639,1.46307,2.65587,1.54087,0.0067,0.0067,0.0067
12,1464.23,1.34097,1.66551,1.50503,0.65467,0.5694,0.61345,0.40246,1.19318,2.15106,1.33571,0.00637,0.00637,0.00637
13,1585.12,1.35789,1.63966,1.55046,0.74608,0.8,0.77464,0.46791,1.34102,1.63397,1.59571,0.00604,0.00604,0.00604
14,1705.14,1.38179,1.60309,1.57394,0.61568,0.5,0.56971,0.31892,1.58262,2.15647,1.63246,0.00571,0.00571,0.00571
15,1820.09,1.33313,1.75821,1.54796,0.76798,0.5,0.62264,0.40783,1.39551,2.0443,1.52298,0.00538,0.00538,0.00538
16,1938.48,1.30903,1.63586,1.46841,0.9807,0.65,0.7899,0.50825,1.31073,1.63006,1.48551,0.00505,0.00505,0.00505
17,2055.25,1.20325,1.49687,1.42565,0.75936,0.78932,0.78492,0.48032,1.22,1.63808,1.48852,0.00472,0.00472,0.00472
18,2171.57,1.3285,1.56574,1.47613,0.86015,0.8,0.78388,0.55013,1.12181,1.52503,1.35339,0.00439,0.00439,0.00439
19,2288.83,1.15464,1.63308,1.36567,0.97552,0.75,0.89042,0.65623,1.04466,1.27127,1.24988,0.00406,0.00406,0.00406
20,2405.76,1.16579,1.33362,1.3677,0.93954,0.75,0.88014,0.6299,1.03233,1.28621,1.33891,0.00373,0.00373,0.00373
21,2522.48,1.2106,1.63601,1.42051,0.91988,0.7,0.77968,0.54588,1.12848,1.73467,1.38607,0.0034,0.0034,0.0034
22,2638.51,1.1274,1.48417,1.36555,0.89314,0.85,0.87345,0.56153,1.28704,1.31667,1.44172,0.00307,0.00307,0.00307
23,2755.29,1.15902,1.39229,1.44735,0.85685,0.9,0.91392,0.58861,1.18981,1.22489,1.38311,0.00274,0.00274,0.00274
24,2873.12,1.17069,1.29773,1.3709,0.80631,0.9,0.90362,0.57204,1.16307,1.23366,1.34074,0.00241,0.00241,0.00241
25,2989.43,1.06867,1.29298,1.31245,0.86361,0.94976,0.91067,0.59152,1.09997,1.26893,1.35437,0.00208,0.00208,0.00208
26,3106.39,1.05771,1.27059,1.32746,0.99638,0.85,0.9126,0.62968,1.07583,1.07352,1.30779,0.00175,0.00175,0.00175
27,3222.58,1.05584,1.18757,1.31241,0.85249,0.8674,0.90805,0.63064,1.07103,1.08001,1.27107,0.00142,0.00142,0.00142
28,3339.72,0.99301,1.22488,1.34071,0.98921,0.8,0.90651,0.62871,1.05979,1.05543,1.25649,0.00109,0.00109,0.00109
29,3457.19,0.93819,1.12892,1.2569,0.9432,0.85,0.92215,0.64195,1.04039,1.12664,1.27405,0.00076,0.00076,0.00076
30,3573.48,0.97826,1.13472,1.24797,0.96982,0.85,0.91889,0.65439,1.04236,1.08251,1.27981,0.00043,0.00043,0.00043
