epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6881.02,0.92599,0.87584,1.32403,0.88847,0.80553,0.8853,0.69158,0.74348,0.58893,1.27621,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7093.68,0.93632,0.8904,1.33251,0.87212,0.80775,0.8757,0.69554,0.74648,0.59692,1.2651,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7307.64,0.92245,0.87023,1.3216,0.85785,0.82153,0.87276,0.6842,0.74901,0.59265,1.2945,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7519.85,0.91696,0.85518,1.32064,0.89726,0.81174,0.89146,0.70462,0.74859,0.55657,1.27357,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7737.21,0.92114,0.85268,1.32288,0.87329,0.8271,0.88664,0.69399,0.75141,0.56217,1.28154,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7962.55,0.91234,0.83816,1.31201,0.85766,0.8435,0.88135,0.69309,0.75376,0.57128,1.27099,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8186.85,0.91289,0.84809,1.31348,0.89095,0.82969,0.89311,0.70482,0.74589,0.55715,1.28359,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8419.61,0.91071,0.82626,1.30806,0.88,0.79273,0.87336,0.69303,0.73168,0.58932,1.26735,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8645.09,0.88759,0.81142,1.29533,0.85408,0.83323,0.88326,0.69682,0.71549,0.54676,1.24451,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8876.36,0.89758,0.8158,1.30284,0.90339,0.82264,0.90203,0.71735,0.72304,0.53004,1.25183,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9112.51,0.89047,0.80279,1.29474,0.87819,0.83371,0.89727,0.71156,0.72687,0.52743,1.25018,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9342.6,0.89018,0.79685,1.29996,0.8792,0.82411,0.89098,0.71023,0.71987,0.53331,1.26195,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9566.9,0.89333,0.8099,1.29001,0.88622,0.83455,0.89693,0.70651,0.72861,0.52338,1.26115,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9790.86,0.88594,0.7826,1.28715,0.88686,0.82941,0.8906,0.71446,0.70401,0.54162,1.24604,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10021.5,0.87004,0.7661,1.27746,0.8918,0.83088,0.89471,0.71354,0.71212,0.52246,1.24134,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10247.4,0.87788,0.77528,1.28721,0.89757,0.82243,0.891,0.71965,0.70566,0.52949,1.24185,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10475.9,0.88337,0.78026,1.28636,0.87082,0.8497,0.90006,0.72167,0.7016,0.52154,1.23254,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10707,0.86084,0.76832,1.274,0.88415,0.84106,0.90379,0.71903,0.71392,0.53239,1.2491,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10934.1,0.85989,0.75066,1.26814,0.89285,0.84866,0.89979,0.7246,0.69349,0.51153,1.23302,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11156.7,0.86515,0.75544,1.27311,0.88694,0.83908,0.90079,0.72167,0.70639,0.50887,1.24066,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11372.9,0.85368,0.75186,1.26826,0.87538,0.85669,0.90159,0.72522,0.69546,0.50782,1.23542,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11587.9,0.84574,0.72105,1.25864,0.88892,0.841,0.90288,0.73003,0.69429,0.50867,1.22887,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,207.157,0.84292,0.72769,1.26188,0.88581,0.8327,0.89686,0.72282,0.67593,0.51355,1.21658,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,411.328,0.85034,0.73419,1.26279,0.88781,0.83757,0.90356,0.72534,0.69305,0.50458,1.21778,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,616.151,0.84249,0.7149,1.25088,0.9011,0.83722,0.90401,0.72168,0.69711,0.50738,1.23012,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,820.823,0.83972,0.72131,1.25158,0.87949,0.83856,0.89747,0.7272,0.68203,0.51803,1.20944,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1025.42,0.83733,0.70898,1.25235,0.88469,0.85832,0.90354,0.73581,0.67196,0.49505,1.21303,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1231.88,0.83792,0.70787,1.25078,0.89763,0.84829,0.90392,0.73381,0.67286,0.49258,1.21022,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1436.98,0.83314,0.7032,1.25006,0.88976,0.85613,0.90792,0.74008,0.67177,0.48845,1.21378,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1642.17,0.82831,0.69008,1.24375,0.87139,0.86257,0.90521,0.73539,0.67455,0.48401,1.21263,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1846.31,0.81991,0.6927,1.24387,0.8831,0.84224,0.90595,0.73325,0.68249,0.49647,1.21617,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2051.76,0.8131,0.68619,1.23268,0.89077,0.84976,0.90755,0.73814,0.66784,0.49631,1.19989,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2255.64,0.81413,0.68638,1.23447,0.89306,0.85552,0.90921,0.74359,0.66474,0.47288,1.19685,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2459.81,0.81797,0.67357,1.23527,0.89015,0.85548,0.91015,0.74423,0.67917,0.48094,1.2048,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2664.78,0.8088,0.66808,1.2354,0.87975,0.86896,0.90576,0.7425,0.66661,0.48408,1.1956,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2868.32,0.80503,0.65696,1.22688,0.8932,0.84228,0.90624,0.74261,0.65978,0.48089,1.18883,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3072.18,0.80597,0.66047,1.22724,0.89178,0.87005,0.91066,0.74442,0.67074,0.47331,1.19837,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3278.03,0.79779,0.64689,1.22483,0.89493,0.84338,0.91075,0.74564,0.65924,0.47751,1.19384,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3483.28,0.7975,0.64812,1.21936,0.89993,0.84643,0.90756,0.74346,0.66262,0.47665,1.19831,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3687.7,0.79,0.64763,1.22001,0.89637,0.85323,0.90903,0.74775,0.65216,0.46918,1.1913,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3890.73,0.79675,0.6419,1.22273,0.90481,0.84407,0.90932,0.74879,0.6468,0.46537,1.18793,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4093.84,0.78623,0.63676,1.21128,0.90075,0.85912,0.91737,0.75191,0.64373,0.45139,1.17901,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4296.13,0.77989,0.62786,1.21055,0.90859,0.85489,0.91604,0.75275,0.65717,0.46312,1.18581,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4499.59,0.77233,0.62018,1.20139,0.8995,0.85919,0.91496,0.75067,0.65414,0.46193,1.18915,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4702.39,0.77987,0.62748,1.20874,0.89724,0.857,0.91537,0.7506,0.65516,0.4656,1.18899,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4907.85,0.76708,0.61239,1.207,0.90179,0.85719,0.9177,0.75496,0.65284,0.46227,1.18564,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5114.19,0.77236,0.61443,1.20386,0.89085,0.85633,0.91694,0.75357,0.65521,0.46308,1.19162,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5320.05,0.76623,0.61133,1.19883,0.91,0.84911,0.91552,0.7555,0.64946,0.45975,1.18557,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5525.36,0.75556,0.597,1.1914,0.89973,0.85327,0.91306,0.75287,0.64898,0.45669,1.18792,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5727.63,0.75566,0.58855,1.192,0.88152,0.87574,0.91994,0.75362,0.64818,0.4501,1.18613,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5932.12,0.7514,0.59951,1.19428,0.88908,0.87151,0.92347,0.75719,0.64922,0.44488,1.18791,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6135,0.74972,0.58813,1.1855,0.89621,0.85482,0.91995,0.75399,0.65123,0.45673,1.1875,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6340.26,0.74658,0.58835,1.18578,0.88552,0.87276,0.92089,0.75657,0.65045,0.45408,1.18842,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6544.76,0.73678,0.57525,1.17878,0.90338,0.84749,0.92103,0.76007,0.64443,0.44852,1.18753,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6747.19,0.74073,0.58267,1.1837,0.91045,0.85152,0.92135,0.75834,0.64574,0.44559,1.18345,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6950.14,0.73107,0.56782,1.17586,0.89657,0.85756,0.92095,0.7576,0.65079,0.45613,1.18542,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7152.83,0.73354,0.57258,1.1811,0.886,0.86286,0.91997,0.75691,0.64873,0.45019,1.18479,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7356.24,0.73109,0.56276,1.17882,0.91162,0.84443,0.91899,0.75737,0.65149,0.45564,1.18665,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
