epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,1391.37,0.73922,1.20851,1.38967,0.95956,1,0.97192,0.78672,0.704,1.50206,1.406,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
12,1509.53,0.80172,1.2424,1.42699,0.99156,1,0.995,0.82865,0.64409,1.33094,1.32517,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
13,1627.66,0.70351,1.1128,1.34519,0.9577,1,0.98885,0.83953,0.64971,1.39874,1.34333,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
14,1744.12,0.70601,1.13892,1.35533,1,0.99066,0.995,0.83987,0.64639,1.39648,1.36767,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
15,1860.6,0.74258,1.17525,1.36132,0.95937,1,0.99038,0.83591,0.60174,1.39166,1.36297,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
16,1975.3,0.65886,1.04039,1.29408,0.95887,1,0.99346,0.80228,0.68386,1.37971,1.4636,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
17,2092.45,0.67857,1.08356,1.32209,0.99766,1,0.995,0.80772,0.69646,1.33334,1.48641,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
18,2207.57,0.69169,1.07509,1.33894,0.99747,1,0.995,0.84205,0.60257,1.31336,1.35687,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813
19,2324.35,0.62501,1.01603,1.26415,0.99773,1,0.995,0.85809,0.60811,1.28178,1.31686,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
20,2441.54,0.65594,1.04894,1.28374,0.99795,1,0.995,0.8563,0.61338,1.25785,1.32844,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791
21,2557.28,0.57929,1.70756,1.36355,0.9979,1,0.995,0.87445,0.62051,1.21889,1.32196,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
22,2672.66,0.50456,1.53598,1.31689,0.9978,1,0.995,0.86209,0.60038,1.20097,1.30385,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
23,2797,0.52796,1.38765,1.34452,0.9979,1,0.995,0.85846,0.61353,1.21724,1.31294,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
24,2932.36,0.46669,1.34152,1.27796,0.99791,1,0.995,0.85827,0.60857,1.23071,1.31245,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747,0.00120524,0.000401747
25,3086.63,0.44336,1.32232,1.28978,0.99784,1,0.995,0.87489,0.57634,1.21358,1.25766,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
26,3222.19,0.48897,1.33704,1.28118,0.9979,1,0.995,0.86913,0.5994,1.21194,1.29704,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725
27,3360.44,0.4663,1.34677,1.27155,0.99792,1,0.995,0.87546,0.5945,1.22159,1.2837,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
28,3501.14,0.50624,1.2976,1.30304,0.99792,1,0.995,0.885,0.56713,1.21132,1.25569,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
29,3633.55,0.46146,1.28804,1.22676,0.99792,1,0.995,0.88262,0.56621,1.20927,1.25179,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692
30,3770.88,0.48847,1.31588,1.25295,0.99793,1,0.995,0.88888,0.56144,1.20208,1.23717,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05
