epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,142.575,1.3977,2.9938,1.95627,0.00672,1,0.40969,0.20898,1.04225,3.63496,2.00392,0.00130026,0.00043342,0.00130026,0.00043342,0.00130026,0.00043342,0.00130026,0.00043342
2,290.129,1.07923,2.8769,1.69167,0.00663,1,0.62532,0.37782,0.67323,3.52179,1.5673,0.00256306,0.000854354,0.00256306,0.000854354,0.00256306,0.000854354,0.00256306,0.000854354
3,437.141,0.89655,2.73148,1.56318,0.00649,1,0.89717,0.6506,0.69645,3.37073,1.73579,0.00373675,0.00124558,0.00373675,0.00124558,0.00373675,0.00124558,0.00373675,0.00124558
4,565.067,0.77473,2.50471,1.4687,1,0.35712,0.97773,0.75198,0.77641,2.92192,1.76474,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
5,686.483,0.82206,2.21741,1.49043,0.9222,0.94855,0.98074,0.70253,0.92021,2.28377,1.94889,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
6,804.388,0.91655,1.98757,1.55075,1,0.95109,0.98833,0.74947,0.89763,1.81252,1.94258,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
7,921.87,0.83497,1.59354,1.48777,0.99744,1,0.995,0.79745,0.76808,1.56751,1.61092,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
8,1040.16,0.77785,1.37693,1.42613,0.95603,1,0.99192,0.79166,0.71665,1.71367,1.49982,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
9,1157.29,0.78852,1.33123,1.41597,0.95944,1,0.98731,0.77511,0.75821,1.6717,1.54917,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
10,1274.3,0.72723,1.22073,1.36738,0.95955,1,0.98577,0.75836,0.79854,1.71069,1.63079,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
