epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,776.251,1.86372,3.31677,2.1745,0.26463,0.16026,0.00663,0.00128,3.51498,11.3346,5.76445,0.0702344,0.00330729,0.00330729
2,1660.41,1.97294,3.29577,2.27879,0.00296,0.1353,0.00222,0.00077,3.35185,203.44,4.78347,0.0400152,0.00642148,0.00642148
3,2466.48,1.87182,3.14516,2.18493,0.25198,0.05238,0.00157,0.00063,3.2164,28.1399,4.27446,0.00957609,0.00931568,0.00931568
4,3295.92,1.86695,3.12743,2.1762,0.5336,0.13333,0.06923,0.02767,2.37743,6.97592,3.64,0.00901,0.00901,0.00901
5,4054.32,1.78269,3.01705,2.10075,0.33382,0.12753,0.10477,0.03981,1.89584,5.29355,2.64253,0.00868,0.00868,0.00868
6,4942.35,1.71763,2.92294,2.01587,0.12702,0.24817,0.09076,0.03232,2.09727,3.42568,2.71663,0.00835,0.00835,0.00835
7,5740.9,1.73159,2.90244,2.01063,0.87823,0.13333,0.17862,0.07106,2.17394,3.55415,3.08073,0.00802,0.00802,0.00802
8,6537.64,1.67285,2.81401,1.98529,0.41128,0.32473,0.20437,0.08494,1.97975,3.04264,2.5356,0.00769,0.00769,0.00769
9,7259.35,1.63821,2.69749,1.93226,0.61137,0.30714,0.21389,0.11715,1.89889,2.96053,2.44187,0.00736,0.00736,0.00736
10,8031.5,1.68252,2.71201,1.93321,0.12895,0.29872,0.23556,0.11195,1.85552,2.89907,2.29158,0.00703,0.00703,0.00703
11,8822.16,1.61653,2.59362,1.8772,0.46926,0.27985,0.21971,0.10111,1.91916,3.21496,2.41087,0.0067,0.0067,0.0067
12,9598.37,1.59986,2.60799,1.87736,0.31735,0.41801,0.32524,0.16286,1.67718,2.73499,2.21019,0.00637,0.00637,0.00637
13,10431.8,1.55213,2.54211,1.83045,0.47357,0.33168,0.28446,0.11785,1.86027,2.85349,2.36976,0.00604,0.00604,0.00604
14,10926,1.56793,2.55939,1.83866,0.33382,0.38901,0.31785,0.16805,1.65388,2.59261,2.10905,0.00571,0.00571,0.00571
15,11400.7,1.55233,2.51121,1.8141,0.5798,0.37717,0.34926,0.17705,1.59323,2.42036,2.01846,0.00538,0.00538,0.00538
16,11855.7,1.495,2.4059,1.7819,0.34658,0.29977,0.27065,0.12793,2.0068,2.66446,2.47587,0.00505,0.00505,0.00505
17,12331.6,1.46534,2.37236,1.76037,0.2973,0.49684,0.36618,0.17593,1.63215,2.44039,2.0827,0.00472,0.00472,0.00472
18,12801.9,1.48043,2.38149,1.76172,0.3885,0.49592,0.42439,0.24001,1.60091,2.25078,2.04006,0.00439,0.00439,0.00439
19,13263.7,1.43812,2.34563,1.73638,0.52544,0.40147,0.38982,0.20961,1.7556,2.56016,2.17379,0.00406,0.00406,0.00406
20,13725.9,1.4454,2.34839,1.76105,0.43775,0.50294,0.44951,0.23703,1.56761,2.17227,2.0284,0.00373,0.00373,0.00373
21,14190.1,1.46688,2.33498,1.92215,0.45136,0.53956,0.42538,0.26001,1.62331,2.50753,2.07148,0.0034,0.0034,0.0034
22,14639.7,1.43457,2.20486,1.89373,0.42645,0.46845,0.40471,0.2308,1.58057,2.22599,1.94323,0.00307,0.00307,0.00307
23,15064.5,1.40805,2.15949,1.85148,0.4264,0.41163,0.37378,0.21224,1.55083,2.15378,1.96787,0.00274,0.00274,0.00274
24,15497,1.399,2.08514,1.82586,0.36563,0.55281,0.43317,0.24945,1.52482,1.94356,1.88919,0.00241,0.00241,0.00241
25,15929.6,1.34939,2.03896,1.81504,0.65297,0.41876,0.48664,0.26001,1.55234,1.94742,1.9561,0.00208,0.00208,0.00208
26,16362.5,1.32375,2.00039,1.77999,0.51877,0.50426,0.48323,0.28228,1.52846,1.89539,1.90839,0.00175,0.00175,0.00175
27,16795.7,1.32555,1.9521,1.77151,0.49137,0.57589,0.52845,0.30364,1.50414,1.85092,1.8934,0.00142,0.00142,0.00142
28,17226.9,1.28665,1.89227,1.72471,0.53707,0.59138,0.58943,0.35857,1.47505,1.74018,1.83534,0.00109,0.00109,0.00109
29,17652.9,1.29783,1.90017,1.73382,0.52578,0.62673,0.58261,0.37121,1.39432,1.7139,1.76785,0.00076,0.00076,0.00076
30,18085.3,1.22939,1.84026,1.69061,0.55689,0.5473,0.57274,0.34241,1.43852,1.69674,1.83294,0.00043,0.00043,0.00043
