epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.088,1.37085,2.89467,1.69306,0.68506,0.06897,0.35708,0.18766,1.32628,3.51259,1.63491,0.000541044,0.000541044,0.000541044
2,287.222,1.48476,2.56521,1.82234,0.79712,0.13793,0.15402,0.05408,2.16968,4.1156,2.48365,0.00106052,0.00106052,0.00106052
3,449.587,1.53902,2.71216,1.87812,0.31108,0.20528,0.16678,0.06637,1.81889,4.77176,2.19172,0.00154332,0.00154332,0.00154332
4,642.25,1.53212,2.54701,1.8272,0.11653,0.32193,0.1457,0.06118,2.00234,7.81711,2.30294,0.00150197,0.00150197,0.00150197
5,781.888,1.50644,2.70085,1.78192,0.06577,0.26859,0.06474,0.03263,1.99436,5.63679,2.37125,0.00144696,0.00144696,0.00144696
6,920.666,1.61925,2.63753,1.85306,0.39654,0.29526,0.23963,0.1196,1.61334,5.003,2.08867,0.00139195,0.00139195,0.00139195
7,1059.2,1.52799,2.42156,1.88641,0.21397,0.45636,0.19267,0.09468,1.78667,4.50429,2.20041,0.00133693,0.00133693,0.00133693
8,1197.71,1.50221,2.3825,1.79587,0.53593,0.30765,0.34454,0.15901,1.79507,3.82506,2.09213,0.00128192,0.00128192,0.00128192
9,1336.41,1.43752,2.18802,1.75622,0.72732,0.32736,0.37585,0.20006,1.59588,4.02685,1.95649,0.00122691,0.00122691,0.00122691
10,1491.06,1.39679,2.02936,1.74913,0.69869,0.50835,0.50497,0.26584,1.6045,2.71289,2.06469,0.0011719,0.0011719,0.0011719
11,1642.05,1.33123,2.00447,1.69523,0.48845,0.44847,0.4779,0.28081,1.52891,2.41149,1.81305,0.00111689,0.00111689,0.00111689
12,1795.35,1.39899,2.20873,1.69975,0.7096,0.38066,0.46416,0.2431,1.63775,2.57898,2.0897,0.00106188,0.00106188,0.00106188
13,1963.73,1.35113,2.06835,1.68388,0.60924,0.59329,0.57694,0.3221,1.49657,2.39167,1.83684,0.00100687,0.00100687,0.00100687
14,2110.54,1.32054,1.87401,1.61101,0.72458,0.559,0.64099,0.40389,1.30123,1.95502,1.70566,0.000951857,0.000951857,0.000951857
15,2274.05,1.32954,1.79876,1.62541,0.53072,0.62659,0.60731,0.36661,1.36879,2.09301,1.69607,0.000896846,0.000896846,0.000896846
16,2451.92,1.30648,1.79899,1.6055,0.66747,0.55119,0.6292,0.41008,1.2826,1.86649,1.55971,0.000841835,0.000841835,0.000841835
17,2623.07,1.24048,1.73949,1.59399,0.90227,0.60112,0.67629,0.39307,1.54919,1.98457,1.88198,0.000786824,0.000786824,0.000786824
18,2767.27,1.19977,1.63721,1.54684,0.84256,0.63416,0.71306,0.46849,1.25769,1.73188,1.59652,0.000731813,0.000731813,0.000731813
19,2957.15,1.17775,1.66817,1.54538,0.84873,0.55199,0.67636,0.45084,1.31009,1.80612,1.5741,0.000676802,0.000676802,0.000676802
20,3188.94,1.16716,1.56862,1.51603,0.86475,0.62311,0.71929,0.48792,1.24939,1.69094,1.51642,0.000621791,0.000621791,0.000621791
21,3337.13,1.18853,1.80252,1.60818,0.74844,0.66379,0.70552,0.44297,1.34082,1.72556,1.64398,0.00056678,0.00056678,0.00056678
22,3475.28,1.15267,1.65396,1.56082,0.69369,0.62077,0.67954,0.44606,1.25445,1.89489,1.61554,0.000511769,0.000511769,0.000511769
23,3612.48,1.09993,1.59933,1.56084,0.72079,0.63712,0.70682,0.49308,1.13093,1.86921,1.49251,0.000456758,0.000456758,0.000456758
24,3749.27,1.09759,1.49979,1.54305,0.77412,0.66544,0.71307,0.49361,1.12087,1.60546,1.48414,0.000401747,0.000401747,0.000401747
25,3886.41,1.01533,1.38717,1.46938,0.74495,0.69666,0.73381,0.52753,1.08753,1.49004,1.4315,0.000346736,0.000346736,0.000346736
26,4023.4,1.03489,1.38364,1.45328,0.76002,0.70674,0.76551,0.5395,1.13137,1.42464,1.44779,0.000291725,0.000291725,0.000291725
27,4161.17,1.04051,1.35757,1.48438,0.8776,0.65827,0.77621,0.53659,1.11462,1.38274,1.45074,0.000236714,0.000236714,0.000236714
28,4298.45,0.97514,1.23701,1.41307,0.89915,0.67339,0.78121,0.57395,1.01766,1.35619,1.37343,0.000181703,0.000181703,0.000181703
29,4436.29,0.89144,1.17365,1.34891,0.87327,0.71148,0.77128,0.57076,0.99079,1.35512,1.35866,0.000126692,0.000126692,0.000126692
30,4574.44,0.93417,1.13137,1.40627,0.84266,0.71148,0.77422,0.57036,1.00924,1.33542,1.36368,7.1681e-05,7.1681e-05,7.1681e-05
