epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2933,1.48003,2.6921,1.57171,0.00333,0.75,0.2822,0.14487,1.4924,3.59638,1.62283,0.00062,0.00062,0.00062
2,269.781,1.6043,2.40017,1.61626,0.05541,0.1,0.03103,0.00904,2.17046,3.88982,2.13152,0.00121842,0.00121842,0.00121842
3,505.734,1.61872,2.50037,1.65743,0.15602,0.15,0.10525,0.04902,1.96215,4.34464,2.07031,0.0017746,0.0017746,0.0017746
4,751.067,1.77569,2.50478,1.81756,0.22055,0.05,0.03619,0.017,2.44,5.04879,2.47865,0.001802,0.001802,0.001802
5,974.993,1.71105,2.57752,1.75503,0.10504,0.2,0.04493,0.01019,2.56701,4.30108,2.33311,0.001736,0.001736,0.001736
6,1209.05,1.71993,2.39894,1.80711,0.22853,0.35,0.15965,0.06274,2.02301,8.28703,2.5287,0.00167,0.00167,0.00167
7,1430.26,1.65087,2.22849,1.69999,0.38074,0.25,0.26258,0.12075,1.95155,4.37141,1.92396,0.001604,0.001604,0.001604
8,1630.57,1.67015,2.12077,1.71636,0.31967,0.3,0.28492,0.09655,1.82686,3.6894,1.79695,0.001538,0.001538,0.001538
9,1744.4,1.57399,1.99338,1.66721,0.21483,0.2,0.0921,0.05032,2.36246,3.28263,2.27046,0.001472,0.001472,0.001472
10,1888.58,1.58656,1.97697,1.65989,0.58625,0.45,0.42934,0.22466,1.49092,2.68117,1.72534,0.001406,0.001406,0.001406
11,2037.74,1.5797,1.98296,1.65172,0.67385,0.51723,0.53332,0.31021,1.61219,2.41395,1.70167,0.00134,0.00134,0.00134
12,2187.52,1.51558,1.84006,1.6185,0.58069,0.5,0.49694,0.30957,1.6833,2.61247,1.77885,0.001274,0.001274,0.001274
13,2345.16,1.47646,1.78064,1.57784,0.59275,0.5,0.53858,0.31361,1.60019,2.48556,1.63689,0.001208,0.001208,0.001208
14,2478.62,1.5194,1.73965,1.59635,0.54197,0.59196,0.55361,0.35384,1.51661,2.23763,1.58983,0.001142,0.001142,0.001142
15,2597.08,1.46723,1.76868,1.58243,0.92233,0.59417,0.69948,0.43373,1.4441,1.70097,1.50169,0.001076,0.001076,0.001076
16,2725.99,1.44797,1.65848,1.52899,0.75314,0.7,0.72874,0.45272,1.42941,1.74848,1.48734,0.00101,0.00101,0.00101
17,2816.9,1.35257,1.53067,1.46029,0.78427,0.6,0.70184,0.41851,1.38057,1.79433,1.46551,0.000944,0.000944,0.000944
18,2904.48,1.41704,1.55898,1.48959,0.66897,0.65,0.66257,0.40406,1.26416,1.66874,1.37432,0.000878,0.000878,0.000878
19,2992.81,1.29938,1.62423,1.40222,0.91047,0.6,0.73142,0.45823,1.31435,1.47736,1.45393,0.000812,0.000812,0.000812
20,3087.95,1.28169,1.43643,1.39306,0.83192,0.49534,0.63225,0.4081,1.38804,1.63734,1.43912,0.000746,0.000746,0.000746
21,3186.79,1.38295,1.62407,1.49588,0.89464,0.6,0.70289,0.50364,1.25852,1.60352,1.30319,0.00068,0.00068,0.00068
22,3290.32,1.21672,1.4719,1.4044,0.92143,0.7,0.77337,0.51826,1.24144,1.49124,1.41163,0.000614,0.000614,0.000614
23,3394.07,1.26443,1.36837,1.47281,1,0.69717,0.81538,0.55696,1.17506,1.3047,1.34487,0.000548,0.000548,0.000548
24,3484.06,1.26625,1.28506,1.41518,0.94838,0.65,0.8243,0.54441,1.2518,1.36149,1.33516,0.000482,0.000482,0.000482
25,3574.31,1.16273,1.27392,1.33404,0.8746,0.69761,0.77227,0.51269,1.1654,1.39782,1.28259,0.000416,0.000416,0.000416
26,3669.35,1.13542,1.2163,1.34083,0.831,0.7,0.79021,0.56082,1.18791,1.26216,1.27127,0.00035,0.00035,0.00035
27,3761.26,1.14912,1.15818,1.33366,0.97631,0.6,0.81188,0.55005,1.23605,1.19761,1.31074,0.000284,0.000284,0.000284
28,3855.44,1.10244,1.14231,1.31101,0.94149,0.6,0.82006,0.54223,1.23631,1.21419,1.31665,0.000218,0.000218,0.000218
29,3946.98,1.02839,1.08867,1.26867,0.93329,0.69958,0.85724,0.5864,1.1631,1.168,1.25201,0.000152,0.000152,0.000152
30,4048.87,1.05394,1.06682,1.24317,0.93627,0.73519,0.86737,0.60311,1.12391,1.17873,1.21297,8.6e-05,8.6e-05,8.6e-05
