epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.435,1.45707,2.74135,1.6621,0.05197,0.25,0.07187,0.03925,1.6344,3.85452,1.63869,0.00062,0.00062,0.00062
2,212.402,1.60677,2.51107,1.73606,0.50743,0.25,0.25322,0.12789,1.69778,3.43611,1.68776,0.00121842,0.00121842,0.00121842
3,317.281,1.60651,2.51359,1.72546,0.08407,0.15,0.02917,0.01081,2.2422,10.1681,2.27618,0.0017746,0.0017746,0.0017746
4,421.52,1.76422,2.67097,1.90484,0.01811,0.1,0.01435,0.00369,2.42134,28.0027,3.15942,0.001802,0.001802,0.001802
5,539.848,1.78314,2.70772,1.87582,0.11314,0.25,0.12433,0.0556,2.02462,5.95805,2.23193,0.001736,0.001736,0.001736
6,647.814,1.69834,2.4994,1.85779,0.37621,0.3,0.29927,0.1635,1.75334,5.14762,2.02822,0.00167,0.00167,0.00167
7,755.892,1.64566,2.27176,1.77011,0.23808,0.25,0.21463,0.11163,1.69808,9.06219,1.94051,0.001604,0.001604,0.001604
8,865.735,1.66496,2.20525,1.81688,0.31946,0.2,0.12851,0.0552,2.02661,6.03826,2.16742,0.001538,0.001538,0.001538
9,975.484,1.61113,2.06569,1.78661,0.42362,0.6,0.48178,0.23224,1.71996,3.01218,1.86382,0.001472,0.001472,0.001472
10,1086.94,1.56532,1.94787,1.73491,0.57099,0.4,0.35454,0.22,1.46444,2.86121,1.66334,0.001406,0.001406,0.001406
11,1192.34,1.57918,2.03066,1.76585,0.60806,0.5,0.53802,0.31276,1.63119,2.44579,1.71495,0.00134,0.00134,0.00134
12,1297.13,1.51183,1.82861,1.6779,0.57223,0.40139,0.47595,0.23809,1.73941,3.41508,1.77891,0.001274,0.001274,0.001274
13,1401.81,1.4638,1.81608,1.66201,0.57759,0.65,0.56494,0.24166,1.85141,2.51099,1.94444,0.001208,0.001208,0.001208
14,1506.09,1.53928,1.77912,1.74085,0.62684,0.55,0.54919,0.36694,1.58224,2.01343,1.69858,0.001142,0.001142,0.001142
15,1610.94,1.40363,1.80778,1.64693,0.89027,0.5,0.55888,0.32194,1.70909,2.19181,1.79143,0.001076,0.001076,0.001076
16,1714.91,1.39743,1.71464,1.60676,0.64831,0.6,0.5944,0.36253,1.42075,2.0327,1.53569,0.00101,0.00101,0.00101
17,1819.66,1.29794,1.61335,1.50564,0.69931,0.58212,0.71228,0.47039,1.26803,1.72327,1.47262,0.000944,0.000944,0.000944
18,1923.91,1.38776,1.58291,1.54708,0.90964,0.55,0.73213,0.41573,1.52352,1.76931,1.61617,0.000878,0.000878,0.000878
19,2028.51,1.30294,1.54978,1.48771,0.68306,0.55,0.6498,0.4089,1.41724,1.70863,1.56306,0.000812,0.000812,0.000812
20,2132.36,1.27876,1.4362,1.4792,0.82521,0.5,0.66769,0.45348,1.1766,1.72271,1.43154,0.000746,0.000746,0.000746
21,2236.32,1.32038,1.63241,1.53787,0.60315,0.4563,0.53687,0.35057,1.40845,2.06106,1.52059,0.00068,0.00068,0.00068
22,2339.66,1.27303,1.51888,1.50311,0.9721,0.6,0.72616,0.48612,1.2324,1.45758,1.43982,0.000614,0.000614,0.000614
23,2443.31,1.23435,1.38587,1.5459,0.84015,0.6,0.72897,0.51986,1.14889,1.57207,1.35692,0.000548,0.000548,0.000548
24,2551.23,1.21094,1.33637,1.4623,0.76702,0.6,0.66235,0.48415,1.17518,1.73314,1.40233,0.000482,0.000482,0.000482
25,2663.59,1.12293,1.27783,1.40515,0.75378,0.75,0.77274,0.56742,1.15855,1.47109,1.305,0.000416,0.000416,0.000416
26,2784.72,1.15277,1.24881,1.45116,0.87713,0.75,0.78346,0.55351,1.15447,1.34447,1.28055,0.00035,0.00035,0.00035
27,2898.79,1.1174,1.19649,1.38836,0.62244,0.75,0.72097,0.5062,1.12958,1.49548,1.29609,0.000284,0.000284,0.000284
28,3007.6,1.03812,1.1627,1.3784,0.84375,0.6,0.70936,0.46829,1.166,1.58634,1.3457,0.000218,0.000218,0.000218
29,3117.62,1.01186,1.12944,1.33424,0.74877,0.74532,0.75518,0.52169,1.17664,1.49539,1.34047,0.000152,0.000152,0.000152
30,3228.94,1.02911,1.07986,1.33206,0.82624,0.75,0.76506,0.54477,1.15994,1.4169,1.32795,8.6e-05,8.6e-05,8.6e-05
