epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.047,1.07591,2.02368,1.66354,1,0.675,0.83746,0.60249,3.19258,4.05362,3.43257,0.000654971,0.000654971,0.000654971
2,387.132,1.11615,1.51497,1.63015,1,0.975,0.987,0.79366,1.51711,2.4347,2.28511,0.00130855,0.00130855,0.00130855
3,580.567,1.20971,1.45661,1.67867,1,0.95,0.975,0.77373,2.28664,2.98923,5.97201,0.00194894,0.00194894,0.00194894
4,773.493,1.23588,1.40179,1.71141,1,1,0.995,0.791,1.86507,3.3299,2.9588,0.0019406,0.0019406,0.0019406
5,966.498,1.15608,1.28359,1.67529,1,0.925,0.96233,0.78122,1.63936,2.09783,2.34416,0.0019208,0.0019208,0.0019208
6,1159.31,1.18282,1.2417,1.65384,1,0.975,0.987,0.84228,1.48177,1.52787,2.41028,0.001901,0.001901,0.001901
7,1352.17,1.11325,1.13753,1.59494,1,1,0.995,0.79942,1.90453,1.62256,3.80119,0.0018812,0.0018812,0.0018812
8,1563.27,1.16618,1.11186,1.65419,1,1,0.995,0.85474,1.41165,1.12019,2.66539,0.0018614,0.0018614,0.0018614
9,1766.84,1.14648,1.04894,1.63119,0.86875,0.875,0.93649,0.5618,1.26048,1.07014,2.25775,0.0018416,0.0018416,0.0018416
10,1976.95,1.11185,1.06808,1.61282,0.94806,0.975,0.9763,0.63287,1.16795,0.85478,2.1778,0.0018218,0.0018218,0.0018218
11,2202.62,1.01949,0.9148,1.52838,1,0.97256,0.98611,0.65056,1.17987,0.78626,2.2929,0.001802,0.001802,0.001802
12,2397.74,1.06516,0.95531,1.57053,1,1,0.995,0.88543,1.01138,0.79683,1.87926,0.0017822,0.0017822,0.0017822
13,2588.4,1.07412,0.98125,1.57256,0.97877,0.975,0.9936,0.74261,0.93257,0.68888,1.73426,0.0017624,0.0017624,0.0017624
14,2778.81,1.04926,0.90684,1.55376,0.78264,0.8103,0.88396,0.54817,1.14011,0.98793,1.82153,0.0017426,0.0017426,0.0017426
15,2968.6,1.01751,0.89167,1.52477,0.92836,0.97192,0.93206,0.64815,0.98345,0.76601,1.65755,0.0017228,0.0017228,0.0017228
16,3158.63,1.00497,0.9057,1.50626,0.92668,1,0.98651,0.71676,0.90504,0.62063,1.63712,0.001703,0.001703,0.001703
17,3349.08,0.96056,0.82045,1.48229,0.97554,0.997,0.99378,0.66648,1.1039,0.56642,1.9936,0.0016832,0.0016832,0.0016832
